r,g,b,dbins
0.0,1.0670317899670545,0.4908438104451562,0.48
0.4928671098796945,1.620715810462254,1.6119410428625258,0.5800000000000001
0.49366498486824045,1.0118387043576562,1.0264396604912622,0.6800000000000002
0.0,0.49392805156697545,0.0,0.78
0.0,0.0,0.0,0.8800000000000001
0.0,0.0,0.0,0.9800000000000002
0.0,0.0,0.0,1.08
0.0,0.4935679698650294,0.49395992859318244,1.1800000000000002
0.0,0.4922378812178851,0.49161255539499343,1.2800000000000002
0.0,1.680126597363652,1.655946028489123,1.3800000000000003
0.4945451324369874,1.5828527155907197,1.594339383707443,1.4800000000000004
0.4918860632763974,2.165966343079144,2.1427644467830094,1.5800000000000003
0.4916892697125619,4.0074347448304035,4.866357961810754,1.6800000000000004
0.49189017688496356,4.210393363368088,4.118071196095481,1.7800000000000002
0.4928276538556619,3.7701418644601565,4.459250894849028,1.8800000000000003
0.49415630775048675,4.129929374046304,5.113557422444258,1.9800000000000004
0.4941816000391445,3.257686282609085,5.045743627005775,2.080000000000001
0.49271962872006886,3.8644586489782586,4.48502619180807,2.1800000000000006
0.4916812563507743,3.535907693724043,4.500639699735506,2.2800000000000007
0.4934644954474397,3.7844518307964052,4.570080183898117,2.380000000000001
0.0,3.1388302492122855,3.2575216205488964,2.480000000000001
0.4925582106993157,6.094919118739532,7.002455155552285,2.580000000000001
1.5248053267607649,9.20208452769765,11.06762790178388,2.6800000000000006
0.9727717531230917,7.65822100814489,8.65483318026387,2.780000000000001
1.1771565501506644,8.862134422494675,10.876611722769665,2.880000000000001
1.225484565235178,10.71068599531142,10.09330920178113,2.9800000000000013
4.715488450655506,13.00276183416014,13.375003667277785,3.080000000000001
5.274452250902028,11.16221816732393,8.311570049139204,3.180000000000001
4.322597163728328,14.038635019848305,14.177105483859506,3.280000000000001
9.07276534284587,18.750639850244813,20.89505374455431,3.380000000000001
12.04519023093537,22.10820417300364,23.690843295456148,3.4800000000000013
15.277207392197123,22.648083623693378,24.86486486486486,3.580000000000001
