r,g,b,dbins
1.4503815366677055,3.849616388458267,5.424612145284843,0.72
1.4090231788743985,4.022963266084605,4.557568720535899,0.8200000000000001
1.4597688639524558,4.7872518381284905,6.220423546019506,0.9199999999999999
2.2561940939622454,6.051967407363686,6.9616848193786085,1.02
3.0748967266267284,8.460515797105547,9.3229208223239,1.1199999999999999
3.1005871032840733,9.89989950403508,11.559236015690793,1.22
3.076959165298017,9.794373154309458,11.543877369802535,1.3199999999999998
3.0470255634378125,9.123751409034291,10.820864089116778,1.42
3.079308893746502,8.600505722793818,10.99704939939681,1.5199999999999998
3.060720642258598,9.14637230316121,11.508173424362433,1.6199999999999999
3.0930396058619887,10.044023333646859,12.435629539156519,1.7199999999999998
3.05789410725849,9.808594200845452,12.168539826884466,1.8199999999999996
2.3499004455338923,7.8268956520732464,10.16011360374782,1.9199999999999997
2.368033350002546,7.948246900458588,10.389934442421033,2.0199999999999996
2.3455716531802713,7.300816138577223,9.79003577064629,2.1199999999999997
2.3932007058391833,6.952329188619382,9.540480339660315,2.2199999999999998
1.4651413071070774,6.30929929738172,8.989645661752096,2.3199999999999994
1.464429377901544,5.440575711597846,7.385734967207314,2.42
