r,g,b,dbins
3.876470645733129,11.150371547144179,7.1802423032399805,1.0
2.267619214330661,6.022946636178733,4.539660216323587,1.1
2.3969870540453364,5.590529343519924,4.00880706173213,1.2
2.9011262237919397,7.121936569194237,5.079747276016136,1.3
1.4949209310248193,5.341797581340944,4.023401069642885,1.4
1.4972834485399826,4.730179602052715,3.474165160143981,1.5
1.4967582536076598,4.546893713320046,3.2134297520650583,1.5999999999999999
2.1962391677540007,5.767597698190506,3.8892881378482307,1.7
1.4686689707601617,3.3973281076481956,2.9698324812607186,1.7999999999999998
1.4866527321180745,4.181849351044759,3.6121967933240433,1.9
1.4972332789672975,4.704061608492561,3.3941642365561933,1.9999999999999998
1.4937986718193796,4.578730236717276,3.910209219385592,2.0999999999999996
1.4967825390506568,4.5738252090791915,3.880128959569839,2.2
1.4971078301200338,4.655724077139631,3.939997935650683,2.3
1.4973410674221606,3.982987457659372,3.2898229319331596,2.3999999999999995
1.4978891312274143,3.960212719660413,3.369358525163714,2.5
1.4972864696234902,4.719458772379174,4.041806268287199,2.5999999999999996
1.4961469247558026,4.6767228779834875,4.035953270181598,2.6999999999999997
1.4955197661309234,5.192495523790897,4.593639464234843,2.8
1.4971681125566056,4.594998732264656,4.028555486837683,2.8999999999999995
1.497780762278066,4.7830791841864055,4.19415181086326,3.0
1.495522038599858,5.558817450254131,4.869592728235112,3.0999999999999996
1.4950016050960844,6.138181093470685,4.88617828555162,3.1999999999999993
1.4956907367665628,5.554371537391416,4.858205503329349,3.3
1.494434631228944,6.2319529619172345,4.959498446305572,3.3999999999999995
1.4922688185094637,6.860124224049867,5.566178735290512,3.5
1.494098968203661,6.182332462840039,4.957463754917054,3.5999999999999996
1.4955778088379685,5.636413500138299,4.994667344091248,3.6999999999999993
1.4954940145320956,6.058487387172449,4.928181650827006,3.8
1.4950852609628178,6.0920890304842965,5.462743843234341,3.8999999999999995
1.493045491872419,6.275454960841937,5.606713358835142,3.999999999999999
1.4906978237202115,7.119461169542085,5.7851027924908145,4.1
1.4921077490055124,6.962538341328152,5.709687912024655,4.199999999999999
1.4912126792476332,7.097730170197399,5.8500938738966966,4.299999999999999
1.4926358064474958,6.9449155723766625,5.778693565954089,4.3999999999999995
1.4937971382368238,6.505484316441136,5.829655418846738,4.499999999999999
1.493247676526907,6.969449242055199,5.772006446702762,4.6
1.4923598919707008,6.5871966102211115,5.888876704794888,4.699999999999999
1.4936367339509524,6.60285533414496,5.892231256790451,4.799999999999999
1.4915541515071953,6.744596234453536,6.016143938525746,4.899999999999999
1.4881495803534064,6.9635211260037035,6.196487615505916,4.999999999999999
1.4871414013262942,6.982793073834681,6.222654210606041,5.1
1.492126035825117,6.839147489400938,6.101064134963556,5.199999999999999
1.490234759195342,6.8669125491962255,6.125016835548477,5.299999999999999
1.4898255384088592,6.944207404020025,6.179847189177056,5.399999999999999
1.4905105304085358,6.900156235518258,6.15741754325109,5.499999999999999
1.4925036222835828,6.874012788799284,6.176116177333464,5.6
1.4936581759465202,6.393763675468001,5.466429050125974,5.699999999999999
1.490319156042118,6.446345801478245,6.379200949238562,5.799999999999999
1.4899066514821089,7.1408482439761185,6.354619384091186,5.899999999999999
1.491471479574198,6.377893542670596,6.350051228455292,5.999999999999999
1.4935762562621802,6.425200117848274,5.411082177777162,6.1
1.4938197494458691,6.456888160631235,6.38202032086246,6.199999999999999
1.4946862874005171,6.431935334598862,5.4686978311901875,6.299999999999999
1.4950111106241528,6.4573297666815135,5.459764486128947,6.399999999999999
1.4922204328376205,6.456453400429239,6.403341337690154,6.499999999999999
1.4917643325240335,6.457887051851532,6.429954012059155,6.599999999999999
1.4932174180023514,6.461127321689323,6.443071728871398,6.699999999999999
1.4904434502287511,7.316480074016639,6.479819339928959,6.799999999999999
1.4894090678230287,7.333573607697349,6.480359102896181,6.899999999999999
1.4902658782314628,6.439525817902579,6.480134751589468,6.999999999999998
1.4902363681301865,6.405994876044508,6.476717810253743,7.099999999999999
1.4906973005347,6.32261545228534,6.445494891519996,7.199999999999999
1.489989311222975,7.441608826557296,6.458771877673586,7.299999999999999
1.488091581777352,7.454656287926982,6.457825240344964,7.399999999999999
1.4853247441565194,7.463549113302921,6.42604056545796,7.499999999999998
1.4795594636579135,7.446634976595411,7.427243728202084,7.599999999999999
1.4832952540775384,7.406044419861125,6.371388151413592,7.699999999999999
1.4862456945373903,7.277168941243487,7.34365942871776,7.799999999999999
1.4919678811610828,7.060857899283722,6.050403970420357,7.899999999999999
1.4916588902698322,6.947923014738592,7.12068047274,7.999999999999998
1.4929745964710575,6.746574361647534,7.017823261203717,8.099999999999998
1.4941572974024113,6.484109423668372,6.8070449792192145,8.2
1.4922510939290685,6.4542573031370765,6.763879497722294,8.299999999999997
1.4919193986222432,6.287607441868706,6.727461762990373,8.399999999999999
1.494451752949654,6.19792686496555,6.446966777237688,8.499999999999996
1.4953421954011346,6.375426634306589,6.47802479253236,8.599999999999998
1.4947393324401812,6.587182385705238,6.643019334743068,8.7
1.4954246086290257,6.555301549446518,6.61404802009515,8.799999999999997
1.4960957433022037,6.318282737482287,6.344035561641019,8.899999999999999
1.488401820159787,7.764337886430151,6.786885451050152,8.999999999999996
1.4561453538267741,8.203623015014443,8.342850092879507,9.099999999999998
1.454303805922203,8.095807545568965,8.287189157974078,9.199999999999998
1.4448806325513162,8.077891858426106,8.250859375228686,9.299999999999997
1.4126892584790933,9.260972732343067,8.350793073540565,9.399999999999999
1.4243289951179792,9.240526307229567,8.220783773327351,9.499999999999996
1.417321114277335,9.24853656097188,8.296723389360169,9.599999999999998
1.4410955608731773,9.137765034510881,8.195472007717747,9.699999999999996
1.4769461780802595,8.84010735579778,7.730120921654959,9.799999999999997
1.4800284585992363,7.6945231256816875,7.784954501080934,9.899999999999999
1.4899983442297184,7.55880142101981,7.531810433043125,9.999999999999996
1.4412082288657577,9.051881240479007,8.282724069457709,10.099999999999998
1.43201278912609,9.190150871115796,8.13241188961368,10.199999999999996
1.3286934041553704,9.186820807263343,9.25091495687338,10.299999999999997
1.4108114156180895,9.027253053018217,8.890507248851417,10.399999999999999
1.435488707100936,9.653148277263469,8.744283463570628,10.499999999999996
1.4721071813307638,9.276544652851877,9.428767777892451,10.599999999999998
1.454973247554531,9.529976415767917,9.576004030303631,10.699999999999996
1.483603776183405,8.262466862779133,8.271971602504737,10.799999999999997
1.0746419418597997,10.96285678225286,10.114396270761105,10.899999999999999
1.0452400358095315,10.213798084921168,10.209123239647347,10.999999999999996
