,r,g,b,dbins
0,2.398427589731422,3.36971044137295,3.276257848592934,1.0
1,0.0,0.43770061278085787,0.4753789577540587,1.1
2,0.0,0.4416744194718568,0.464999293581668,1.2
3,0.49501121229143263,0.46730313449916894,0.4792911233580173,1.3
4,0.4944674834200292,0.49309683445367386,0.49278638785995627,1.4
5,0.0,0.0,0.0,1.5
6,0.4946996670078478,0.0,0.0,1.5999999999999999
7,0.0,0.0,0.0,1.7
8,0.0,0.0,0.0,1.7999999999999998
9,0.49493712581067534,0.0,0.0,1.9
10,0.0,0.0,0.0,1.9999999999999998
11,0.0,0.0,0.0,2.0999999999999996
12,0.0,0.4878760752554772,0.4878941087595433,2.2
13,0.4945308313257402,0.47814143792922986,0.47897582972388975,2.3
14,0.49433465087813727,0.48742864761332166,0.4890694113668902,2.3999999999999995
15,0.4932694278609445,0.49117378902151043,0.4926809158076006,2.5
16,0.4940664795142645,1.0471479040189857,0.9650208485577371,2.5999999999999996
17,0.0,0.4931625262354575,0.4948455435666101,2.6999999999999997
18,0.0,0.49112230346081504,0.49402090809791527,2.8
19,0.0,0.48243033978215777,0.4879328335885963,2.8999999999999995
20,0.0,0.48792816685024104,0.4889674185427766,3.0
21,0.0,0.48880978115772417,0.48899741865373686,3.0999999999999996
22,0.0,0.48423882801075474,1.14861218822403,3.1999999999999993
23,0.0,0.4778515238277902,1.279152275283769,3.3
24,0.0,0.4741141935237573,1.3301222857617445,3.3999999999999995
25,0.0,1.2783571297240828,1.3466257699704771,3.5
26,0.0,0.4864012442854507,0.47202399528381594,3.5999999999999996
27,0.0,0.4900667510896217,0.4835088686426552,3.6999999999999993
28,0.0,0.4748492862111637,1.3473638991096244,3.8
29,0.0,1.4194534325125852,2.2806867109022586,3.8999999999999995
30,0.0,1.2530335213997,1.9470817923114294,3.999999999999999
31,0.0,1.0625656167681383,2.0366831002149803,4.1
32,0.0,1.3567189152559578,2.1898021085216586,4.199999999999999
33,0.0,1.2162972592259966,1.9415177132677999,4.299999999999999
34,0.0,1.2024941088236012,2.0876626016337165,4.3999999999999995
35,0.0,1.1441622004136671,2.1614594357424823,4.499999999999999
36,0.0,1.2363220041586127,1.9491462296802824,4.6
37,0.0,2.018426698639514,2.8366701297246233,4.699999999999999
38,0.0,2.1167344258724032,2.7704024306539057,4.799999999999999
39,0.0,2.2036168848255726,2.980650588871743,4.899999999999999
40,0.0,2.1206404122863467,3.0443883169887522,4.999999999999999
41,0.0,2.0019466618060933,2.8025972633532814,5.1
42,0.0,2.852213554695016,4.033150879566681,5.199999999999999
43,0.0,3.6862054181349206,3.508654361248674,5.299999999999999
44,0.0,2.967904724341912,3.875965614971885,5.399999999999999
45,0.0,2.5574441196001367,3.718340106669898,5.499999999999999
46,0.0,2.7000763935523837,1.8082681107274243,5.6
47,0.0,1.0821143592693954,1.5706471293080646,5.699999999999999
48,0.0,1.0337014196283012,1.9792233146154052,5.799999999999999
49,0.0,1.0998632242006912,2.6523703575509656,5.899999999999999
50,0.4945542341375212,2.3243084859262875,2.875809670893757,5.999999999999999
51,0.49471612005262616,1.1079500772640365,2.589120290115546,6.1
52,0.4948340305195041,1.0538384114322963,2.992537518420746,6.199999999999999
53,0.0,0.49042036975677705,2.2002038679358735,6.299999999999999
54,0.49497762770041615,0.4913241385944255,2.188406069059637,6.399999999999999
55,0.4947743930731421,0.49256960776744857,2.323225894670553,6.499999999999999
56,0.49440483354332315,0.4939393636095533,2.311844439079096,6.599999999999999
57,0.0,0.4889751027873185,3.0161279497663993,6.699999999999999
58,0.0,0.4946289132922812,2.378635330335332,6.799999999999999
59,0.49483383313573326,0.49476193296956616,2.3703594496852185,6.899999999999999
60,0.4941798079527155,0.4940743916066787,2.3615610310873434,6.999999999999998
61,0.49429860940049913,0.4926195629037062,2.350092437553821,7.099999999999999
62,0.49412444221920415,0.4945986090397027,2.3266653256497283,7.199999999999999
63,0.4946051930224234,0.4930460052986285,2.273823292729736,7.299999999999999
64,0.0,0.4926236888639826,3.3179511877931587,7.399999999999999
65,0.0,0.4830921917250353,3.2512261210972833,7.499999999999998
66,0.0,1.0728173560411638,3.615785351076542,7.599999999999999
